順位	登録番号	馬名	性別	厩舎	指名者数
334	2024103547	ウインガラハッド	牡	宮徹	4
335	2024106076	アーデルボーデン	牡	中竹和也	4
336	2024106537	フィネスブレード	牡	藤原英昭	4
337	2024107345	ウインヴァンガード	牡	杉山晴紀	4
338	2024106562	グルドロッティン	牡	矢嶋大樹	4
339	2024108310	Exotic Westの2024	牡	-	4
340	2024106092	トゥールドミラベル	牡	小島茂之	4
341	2024106705	リリーノーブルの2024	牝	-	4
342	2024108209	ドラヴァッシュ	牡	-	4
343	2024103885	マテンロウバモス	牡	昆貢	4
344	2024106170	ヒシホライゾン	牡	堀宣行	4
345	2024106173	ルミナレーヌ	牝	昆貢	4
346	2024107018	ゴルトクリーガー	牡	西園翔太	4
347	2024100720	アールラプチャーの2024	牝	-	4
348	2024106585	ホウオウビリーヴ	牡	木村哲也	4
349	2024106262	ビスケットサンド	牝	佐藤悠太	4
350	2024100702	アトゥア	牝	-	4
351	2024106537	フィネスブレード	牡	藤原英昭	4
352	2024106597	ホウオウプレマ	牝	大竹正博	4
353	2024108188	オーレヴィア	牡	矢作芳人	4
354	2024105695	アークブレイブ	牡	-	4
355	2024106135	セレニティマリン	牡	-	4
356	2024103547	ウインガラハッド	牡	宮徹	4
357	2024106076	アーデルボーデン	牡	中竹和也	4
358	2024106991	アイオリスパルス	牝	長谷川浩	4
359	2024107345	ウインヴァンガード	牡	杉山晴紀	4
360	2024106562	グルドロッティン	牡	矢嶋大樹	4
361	2024100120	ステラトップガン	牡	高柳大輔	4
362	2024104337	エリカプロヴァンス	牝	杉山晴紀	4
363	2024104578	オールベット	牡	上村洋行	4
364	2024103714	アークレオン	牡	高柳大輔	4
365	2024105973	ノルトハウゼン	牡	菊沢隆徳	4
366	2024106358	フロントページ	牡	-	4
367	2024106551	テリオスブギ	牝	田島俊明	4
368	2024106190	ジーティーマカロン	牝	-	4
369	2024106350	ディーヴァレギオン	牡	斎藤誠	4
370	2024106369	シーウィルレインの2024	牡	-	4
371	2024106689	イシュナック	牡	田中博康	3
372	2024108285	ヨコハマブルース	牡	-	3
373	2024105763	コンフィアル	牡	嘉藤貴行	3
374	2024107088	カマクラコマチ	牝	森一誠	3
375	2024100700	クッキーボックス	牝	-	3
376	2024100551	サトノステラ	牡	-	3
377	2024106466	ミシナフ	牡	-	3
378	2024103533	ピュアレスト	牝	武井亮	3
379	2024106589	パウンドザロック	牝	宮田敬介	3
380	2024105306	ロードフェイスオフ	牡	友道康夫	3
381	2024103533	ピュアレスト	牝	武井亮	3
382	2024106407	ダブルスプリング	牡	柄崎将寿	3
383	2024106341	サンタンヌ	牝	稲垣幸雄	3
384	2024106443	ダノンコレクト	牡	森一誠	3
385	2024105288	ロードディグニティ	牡	藤原英昭	3
386	2024105306	ロードフェイスオフ	牡	友道康夫	3
387	2024106185	ウイングステルスの2024	牡	井上智史	3
388	2024106530	オールドリーキー	牡	-	3
389	2024101399	ウィキウィキの2024	牝	-	3
390	2024103568	コスモイェーガー	牡	武市康男	3
391	2024106154	フラガンシア	牝	田中克典	3
392	2024100485	カハラアベニュー	牡	西園翔太	3
393	2024107052	ブロッサムスピア	牡	藤岡健一	3
394	2024106166	クレヨン	牝	堀宣行	3
395	2024100424	スカイクイーン	牝	-	3
396	2024106176	エルディタージョ	牡	手塚貴久	3
397	2024106500	ザロイヤルダンサー	牝	-	3
398	2024105929	ヘイヴァイタヒチ	牝	加藤征弘	3
399	2024104151	パリージョの2024	牝	-	3
400	2024106665	ウィンザーグレース	牝	池添学	3
